,Date,Unix,Ticker,DE Ratio,Price,stock_p_change,SP500,sp500_p_change,Difference
0,2004-01-30 19:01:02,1075518062.0,a,0.407,36.65,0.0,1131.130005,0.0,0.0
1,2004-04-13 04:07:11,1081854431.0,a,0.375,31.87,-13.0422919509,1129.439941,-0.149413771408,-12.8928781795
2,2004-12-13 21:37:34,1103002654.0,a,0.323,23.84,-34.9522510232,1198.680054,5.97190850755,-40.9241595307
3,2005-01-22 05:17:19,1106399839.0,a,0.322,21.8,-40.5184174625,1184.630005,4.72978346994,-45.2482009324
4,2006-01-09 02:35:16,1136802916.0,a,0.0,34.65,-5.45702592087,1290.150024,14.0585094814,-19.5155354023
5,2006-06-21 11:01:16,1150912876.0,a,0.368,32.18,-12.1964529332,1252.199951,10.7034510149,-22.8999039481
6,2006-08-19 10:42:01,1156009321.0,a,0.396,31.8,-13.2332878581,1295.430054,14.5253019789,-27.758589837
7,2007-02-20 17:46:56,1172022416.0,a,0.411,32.48,-11.377899045,1459.680054,29.0461792674,-40.4240783125
8,2007-04-12 05:07:51,1176379671.0,a,0.411,34.62,-5.53888130969,1447.800049,27.9959016736,-33.5347829833
9,2008-01-23 19:28:50,1201145330.0,a,0.645,32.16,-12.2510231924,1338.599976,18.3418325111,-30.5928557035
10,2008-02-14 04:44:34,1202993074.0,a,0.645,32.68,-10.8321964529,1348.859985,19.248890847,-30.0810872999
11,2008-04-26 04:49:23,1209210563.0,a,0.67,31.53,-13.9699863574,1379.930054,21.9957076464,-35.9656940038
12,2008-12-06 19:21:33,1228620093.0,a,0.83,17.26,-52.9058663029,870.73999,-23.0203437137,-29.8855225891
13,2011-08-02 06:45:37,1312292737.0,a,54.36,40.79,11.2960436562,1254.050049,10.867012939,0.42903071723
14,2011-11-08 05:04:16,1320757456.0,a,51.62,37.74,2.97407912688,1275.920044,12.8004772537,-9.82639812684
15,2013-05-14 00:28:58,1368516538.0,a,44.12,37.74,2.97407912688,1650.339966,45.9018820741,-42.9278029472
16,2013-09-06 06:09:52,1378472992.0,a,56.39,37.74,2.97407912688,1655.170044,46.3288955897,-43.3548164628
17,2004-04-13 04:20:10,1081855210.0,aa,0.595,34.26,0.0,1129.439941,0.0,0.0
18,2004-09-09 16:15:45,1094771745.0,aa,0.561,32.89,-3.99883245768,1118.380005,-0.979240736803,-3.01959172087
19,2004-11-24 10:37:20,1101321440.0,aa,0.53,33.58,-1.9848219498,1181.76001,4.63239054161,-6.6172124914
20,2004-12-05 00:36:42,1102235802.0,aa,0.53,32.86,-4.08639813193,1190.329956,5.39116891387,-9.4775670458
21,2005-01-13 07:18:32,1105629512.0,aa,0.457,29.43,-14.0980735552,1177.449951,4.25078025464,-18.3488538098
22,2005-02-07 03:48:37,1107776917.0,aa,0.457,29.37,-14.2732049037,1201.719971,6.39963466636,-20.67283957
23,2005-05-22 08:48:23,1116776903.0,aa,0.543,27.45,-19.877408056,1191.079956,5.45757350722,-25.3349815633
24,2006-06-20 04:32:21,1150803141.0,aa,0.526,29.1,-15.061295972,1240.119995,9.79955197104,-24.860847943
25,2007-01-25 19:09:37,1169780977.0,aa,0.494,31.46,-8.17279626386,1423.900024,26.0713360942,-34.244132358
26,2007-02-23 09:03:42,1172250222.0,aa,0.494,34.75,1.43023934618,1451.189941,28.4875705489,-27.0573312027
27,2007-05-16 21:12:47,1179375167.0,aa,0.494,39.04,13.9521307647,1514.140015,34.0611359697,-20.109005205
28,2007-06-22 06:39:12,1182519552.0,aa,0.503,40.34,17.7466433158,1502.560059,33.035852944,-15.2892096282
29,2007-10-11 20:57:59,1192161479.0,aa,0.47,38.08,11.1500291886,1554.410034,37.6266216178,-26.4765924292
30,2008-01-23 16:05:53,1201133153.0,aa,0.499,28.04,-18.155283129,1338.599976,18.5189160935,-36.6741992225
31,2008-10-28 00:52:22,1225180342.0,aa,0.672,9.04,-73.613543491,940.51001,-16.727753654,-56.885789837
32,2008-12-05 01:03:15,1228467795.0,aa,0.672,8.06,-76.4740221833,876.070007,-22.4332365806,-54.0407856027
33,2008-12-06 09:33:46,1228584826.0,aa,0.672,8.15,-76.2113251605,870.73999,-22.9051533958,-53.3061717647
34,2008-12-18 10:54:07,1229626447.0,aa,0.672,10.35,-69.7898423818,885.280029,-21.6177862263,-48.1720561555
35,2011-09-03 09:21:23,1315066883.0,aa,48.26,12.04,-64.8569760654,1218.890015,7.91986105262,-72.776837118
36,2011-11-02 22:04:47,1320296687.0,aa,50.93,10.7,-68.7682428488,1237.900024,9.60299694236,-78.3712397912
37,2011-11-05 21:29:24,1320553764.0,aa,50.93,10.93,-68.0969060128,1237.900024,9.60299694236,-77.6999029552
38,2012-01-02 19:42:06,1325562126.0,aa,50.93,8.65,-74.7518972563,1257.599976,11.3472200112,-86.0991172675
39,2012-03-09 07:34:06,1331307246.0,aa,54.5,8.65,-74.7518972563,1370.869995,21.3760860791,-96.1279833354
40,2012-03-19 02:24:48,1332149088.0,aa,54.5,8.65,-74.7518972563,1409.75,24.8185006413,-99.5703978976
41,2012-05-19 11:51:52,1337453512.0,aa,55.28,8.65,-74.7518972563,1324.800049,17.2970780391,-92.0489752954
42,2012-07-29 16:51:57,1343605917.0,aa,56.42,8.65,-74.7518972563,1360.02002,20.4154351754,-95.1673324317
43,2012-11-27 11:38:14,1354045094.0,aa,56.51,8.65,-74.7518972563,1398.939941,23.8613838786,-98.6132811349
44,2013-01-22 17:52:37,1358905957.0,aa,53.49,8.65,-74.7518972563,1492.560059,32.150458366,-106.902355622
45,2013-04-23 20:02:57,1366772577.0,aa,53.21,8.65,-74.7518972563,1578.780029,39.7843277618,-114.536225018
46,2013-04-26 20:55:15,1367034915.0,aa,53.21,8.65,-74.7518972563,1582.23999,40.0906708328,-114.842568089
47,2013-09-01 04:25:11,1378034711.0,aa,52.71,8.65,-74.7518972563,1638.170044,45.0426874889,-119.794584745
48,2003-12-07 10:36:10,1070822170.0,aapl,0.072,20.85,0.0,1069.719971,0.0,0.0
49,2004-02-03 07:33:34,1075822414.0,aapl,0.07,22.32,7.05035971223,1136.030029,6.19882397241,0.851535739821
50,2004-06-03 01:20:38,1086250838.0,aapl,0.0,28.92,38.7050359712,1116.640015,4.38619875033,34.3188372209
51,2004-08-10 02:02:44,1092128564.0,aapl,0.0,30.3,45.3237410072,1079.040039,0.871262410039,44.4524785972
52,2004-10-12 05:40:57,1097584857.0,aapl,0.0,38.59,85.0839328537,1121.839966,4.87230269724,80.2116301565
53,2004-12-04 14:16:51,1102198611.0,aapl,0.0,62.68,200.623501199,1191.369995,11.3721373161,189.251363883
54,2005-01-26 15:16:47,1106781407.0,aapl,0.0,71.94,245.035971223,1174.069946,9.75488705726,235.281084166
55,2005-02-04 03:07:08,1107515228.0,aapl,0.0,77.81,273.189448441,1203.030029,12.4621453851,260.727303056
56,2005-03-01 10:36:03,1109702163.0,aapl,0.0,44.86,115.1558753,1210.410034,13.1520460321,102.003829268
57,2005-12-17 11:55:53,1134849353.0,aapl,0.0,71.11,241.055155875,1272.73999,18.9788004809,222.076355394
58,2006-01-25 09:43:52,1138211032.0,aapl,0.0,76.04,264.700239808,1264.680054,18.225338246,246.474901562
59,2013-08-11 02:30:32,1376213432.0,aapl,13.75,76.04,264.700239808,1697.47998,58.6845180064,206.015721802
60,2013-06-19 09:57:38,1371661058.0,abbv,512.61,76.04,0.0,1628.930054,0.0,0.0
61,2003-10-26 16:06:32,1067213192.0,abc,0.592,57.01,0.0,1033.77002,0.0,0.0
62,2004-01-28 07:37:34,1075304254.0,abc,0.429,56.36,-1.14015085073,1128.47998,9.16160830433,-10.3017591551
63,2004-05-16 19:24:15,1084760655.0,abc,0.412,58.97,3.4379933345,1096.439941,6.06226914957,-2.62427581507
64,2004-10-20 01:31:26,1098261086.0,abc,0.331,52.1,-8.61252411858,1103.660034,6.76069267321,-15.3732167918
65,2005-01-08 07:45:42,1105199142.0,abc,0.332,57.9,1.56112962638,1183.73999,14.5070922061,-12.9459625797
